DATE,TIME,DT,WD_WS,VISIBILITY,WEATHER,LOWEST_CLOUD,LOW_CLOUD,MID_CLOUD,CURRENT_TEMP,DEW_POINT
01-04-2017,631,40630,210/05,1500,FU,0,NSC,0,23,12
02-04-2017,631,40630,210/05,1500,FU,0,NSC,0,23,12
03-04-2017,730,40730,170/04,1500,FU,0,NSC,0,23,11
04-04-2017,08:00,40800,180/04,1600,FU,0,NSC,0,24,11
05-04-2017,901,40900,170/04,1600,FU,0,NSC,0,24,11
06-04-2017,932,40930,200/04,1600,FU,0,NSC,0,24,10
07-04-2017,1002,41000,190/04,1600,FU,0,NSC,0,24,11
08-04-2017,1101,41100,150/06,1600,FU,0,NSC,0,23,12
09-04-2017,1131,41130,150/06,1600,FU,0,NSC,0,22,12
10-04-2017,1202,41200,150/06,1600,FU,0,NSC,0,21,12
11-04-2017,1402,41400,150/06,1600,FU,0,NSC,0,18,12
12-04-2017,1432,41430,150/04,1600,FU,0,NSC,0,17,12
13-04-2017,1432,41430,150/04,1600,FU,0,NSC,0,17,12
14-04-2017,1432,41430,150/04,1600,FU,0,NSC,0,17,12
15-04-2017,1532,41530,100/04,1600,BR,0,NSC,0,17,14
16-04-2017,1532,41530,100/04,1600,BR,0,NSC,0,17,14
17-04-2017,1532,41530,100/04,1600,BR,0,NSC,0,17,14
18-04-2017,1532,41530,100/04,1600,BR,0,NSC,0,17,14
19-04-2017,1532,41530,100/04,1600,BR,0,NSC,0,17,14
20-04-2017,1532,41530,100/04,1600,BR,0,NSC,0,17,14
21-04-2017,1602,41600,110/03,1500,BR,0,NSC,0,16,14
22-04-2017,1732,41800,CALM,1200,BR,0,NSC,0,15,13
23-04-2017,1832,41830,CALM,1200,BR,0,NSC,0,14,13
24-04-2017,1832,41830,CALM,1200,BR,0,NSC,0,14,13
25-04-2017,1832,41900,CALM,1200,BR,0,NSC,0,14,13
26-04-2017,1832,41900,CALM,1200,BR,0,NSC,0,14,13
27-04-2017,1832,41900,CALM,1200,BR,0,NSC,0,14,13
28-04-2017,1932,41930,CALM,900,MIFG,0,NSC,0,14,13
29-04-2017,2002,42000,CALM,800,MIFG,0,NSC,0,13,13
30-04-2017,2002,42000,CALM,800,MIFG,0,NSC,0,13,13
01-05-2017,2002,42000,CALM,800,MIFG,0,NSC,0,13,13
02-05-2017,2032,42030,CALM,700,MIFG,0,NSC,0,13,12
03-05-2017,2102,42100,110/03,500,FG,0,NSC,0,13,12
04-05-2017,2132,42130,110/03,500,FG,0,NSC,0,13,12
05-05-2017,2202,42200,CALM,500,FG,0,NSC,0,13,12
06-05-2017,2202,42200,CALM,500,FG,0,NSC,0,13,12
07-05-2017,2203,42230,100/03,500,FG,0,NSC,0,13,12
08-05-2017,2203,42230,100/03,500,FG,0,NSC,0,13,12
09-05-2017,2203,42230,100/03,500,FG,0,NSC,0,13,12
10-05-2017,2303,42300,100/03,500,FG,0,NSC,0,13,12
11-05-2017,2333,42330,100/03,500,FG,0,NSC,0,13,12
